rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
435,Demand Progress Action,Lobbying client,40000,ai-cyberattacks; bias; job-loss
436,Sergeants Benevolent Association of New York City,Lobbying client,40000,job-loss
437,Moapa Band of Paiute,Lobbying client,40000,power-bills
438,Red Hat,Lobbying client,30000,ai-cyberattacks
439,Hitrust Services,Lobbying client,30000,ai-cyberattacks
440,Cyera US,Lobbying client,30000,ai-cyberattacks
441,Radnet,Lobbying client,30000,job-loss
442,Socure,Lobbying client,30000,deepfakes
443,Evolution Equity Partners,Lobbying client,30000,ai-cyberattacks; job-loss
444,Teramind,Lobbying client,30000,ai-cyberattacks
445,LG Electronics USA,Lobbying client,30000,kids-chatbots
446,Quantumscape Battery,Lobbying client,30000,china-race
